userID,Gender,Age,DAT,Tenant,Price,category_big,category_mid,category_small,Address
IHV23445,남성,30대,2024-05-08 22:47,감미옥,46000,F&B,레스토랑,한식,서울특별시 노원구
NGV14002,여성,50대,2023-04-26 8:06,유니언,18300,F&B,카페,커피,서울특별시 서대문구
WCO45197,여성,60대,2023-01-01 7:00,베이직하우스,79900,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 종로구
URQ93346,여성,30대,2025-12-06 12:05,SPAO,2000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 중구
XCC94476,남성,40대,2025-11-06 8:57,더바디샵,14000,전문점/일반테넌트,H&B,바디/향수,서울특별시 용산구
QGS31936,여성,20대,2023-01-11 21:09,풋마트,29000,전문점/일반테넌트,패션잡화,신발멀티,서울특별시 금천구
BWX38099,여성,30대,2022-04-24 22:32,트리아농,49600,F&B,레스토랑,양식,서울특별시 구로구
GEU35652,여성,30대,2025-06-05 2:27,토이플러스,408000,전문점/일반테넌트,라이프스타일,취미,서울특별시 도봉구
GQZ75128,남성,40대,2022-04-15 3:24,효자낙지마당,25500,F&B,레스토랑,한식,서울특별시 구로구
SHT73061,남성,30대,2022-09-02 3:19,H&M,59000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 송파구
DGJ18606,여성,30대,2023-06-04 1:20,간식여왕,33100,F&B,카페,기타음료,서울특별시 중랑구
GOW05110,여성,20대,2024-11-08 6:34,무지,134300,전문점/일반테넌트,라이프스타일,홈퍼니싱토탈,서울특별시 도봉구
DDJ02113,남성,40대,2021-11-22 10:43,알파문구,2000,전문점/일반테넌트,라이프스타일,문구/선물,서울특별시 마포구
OQY26262,여성,20대,2022-02-16 3:01,홍콩반점0410,36000,F&B,레스토랑,중식,서울특별시 서초구
CBM74417,여성,40대,2024-07-23 18:41,H&M,30000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 종로구
RIJ82440,여성,30대,2022-03-02 15:11,교동짬뽕,13800,F&B,레스토랑,양식,서울특별시 금천구
VLK22481,여성,30대,2024-04-13 5:06,지오다노,109800,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 노원구
WBP64316,여성,50대,2023-11-05 11:55,아이앱스튜디오,99000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 도봉구
WZB48203,여성,40대,2022-11-10 14:33,포메인,64000,F&B,레스토랑,아시안,서울특별시 도봉구
BKT19022,여성,30대,2025-11-30 17:08,무지,61600,전문점/일반테넌트,라이프스타일,홈퍼니싱토탈,서울특별시 노원구
UAQ17515,남성,30대,2022-12-01 17:43,타이거커피,11800,F&B,카페,커피,서울특별시 도봉구
EPX03639,여성,40대,2023-01-07 10:17,아이레시피,5000,전문점/일반테넌트,H&B,H&B멀티샵,서울특별시 양천구
EJE43018,여성,30대,2025-07-02 22:20,무지,83860,전문점/일반테넌트,라이프스타일,홈퍼니싱토탈,서울특별시 노원구
ROY46944,남성,50대,2022-10-04 8:16,김가네,3500,F&B,레스토랑,분식,서울특별시 성동구
GSC22078,여성,30대,2024-12-09 8:42,폰갤러리,43000,전문점/일반테넌트,라이프스타일,기타라이프스타일,서울특별시 중구
OYR41486,여성,50대,2025-06-20 21:21,브레젠트,10700,F&B,카페,베이커리,서울특별시 강동구
TAY42393,여성,30대,2025-04-15 11:45,국수나무,8800,F&B,레스토랑,한식,서울특별시 강남구
LOT03142,여성,30대,2022-11-29 11:49,H&M,81000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 서대문구
PSE46203,여성,30대,2022-10-31 19:22,프라이스클럽,39200,전문점/일반테넌트,라이프스타일,리빙소품,서울특별시 강동구
FIG95983,여성,30대,2022-03-14 20:51,코이라멘,13500,F&B,레스토랑,일식,서울특별시 성동구
EAN90515,남성,50대,2024-12-25 20:01,던킨도너츠,9400,F&B,테이크아웃,베이커리,서울특별시 강북구
MEZ18738,여성,30대,2021-08-01 10:06,토이플러스,26000,전문점/일반테넌트,라이프스타일,취미,서울특별시 서대문구
AUQ67956,여성,30대,2025-09-13 6:34,후아유,19800,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 도봉구
YSR87448,남성,40대,2023-12-08 4:30,H&M,57000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 강서구
PHD37522,여성,50대,2023-03-05 10:04,라인프렌즈,60000,전문점/일반테넌트,라이프스타일,리빙소품,서울특별시 종로구
QGT07019,여성,40대,2024-04-10 22:43,유니언,11160,F&B,카페,커피,서울특별시 구로구
WEM12996,여성,50대,2022-06-24 19:44,마인드브릿지,69000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 광진구
BFD72001,여성,30대,2025-10-29 8:07,스시선,18000,F&B,레스토랑,일식,서울특별시 성북구
TZA45297,여성,40대,2023-03-15 2:25,간식여왕,11000,F&B,카페,기타음료,서울특별시 성북구
TLH83265,여성,50대,2022-07-19 9:22,무지,7900,전문점/일반테넌트,라이프스타일,홈퍼니싱토탈,서울특별시 송파구
JXI80345,여성,40대,2025-03-31 2:54,유니언,14000,F&B,카페,커피,서울특별시 강남구
URO56777,남성,30대,2025-08-21 18:21,강가,39900,F&B,레스토랑,양식,서울특별시 노원구
DDJ02113,남성,40대,2021-02-07 18:01,벤더커피,13300,F&B,카페,커피,서울특별시 마포구
TTS62076,여성,50대,2025-11-28 3:06,던킨도너츠,10900,F&B,테이크아웃,베이커리,서울특별시 은평구
YRK75844,여성,30대,2021-12-06 1:36,H&M,93000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 도봉구
JFF52182,여성,40대,2021-02-10 8:51,신미낙지,18000,F&B,레스토랑,한식,서울특별시 중랑구
OZM33968,남성,40대,2023-02-27 19:46,리얼스페인,101000,F&B,레스토랑,양식,서울특별시 서초구
AHB98279,남성,40대,2021-08-28 21:27,스시선,13900,F&B,레스토랑,일식,서울특별시 광진구
HVI03021,남성,20대,2023-04-15 6:26,미카도,16500,F&B,레스토랑,일식,서울특별시 강북구
FZZ04537,여성,30대,2022-11-21 21:30,로샤,30900,전문점/일반테넌트,패션잡화,언더웨어,서울특별시 동작구
TJE23971,여성,40대,2024-01-26 22:21,베이직하우스,19900,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 동작구
HOH40262,남성,30대,2021-04-24 2:03,모닝글로리,55600,전문점/일반테넌트,라이프스타일,문구/선물,서울특별시 서초구
TTS62076,여성,50대,2023-05-03 2:34,지코트,69000,전문점/일반테넌트,패션의류,여성패션,서울특별시 은평구
LDY88179,여성,50대,2022-01-07 20:22,포메인,23500,F&B,레스토랑,아시안,서울특별시 광진구
MAF77343,남성,30대,2024-08-20 8:36,라인프렌즈,4500,전문점/일반테넌트,라이프스타일,리빙소품,서울특별시 광진구
DXZ50025,여성,30대,2022-10-03 22:03,무지,2300,전문점/일반테넌트,라이프스타일,홈퍼니싱토탈,서울특별시 서초구
YXH34348,여성,60대,2021-10-06 19:22,밥상머리,14000,F&B,레스토랑,한식,서울특별시 강동구
PZZ34219,여성,50대,2025-01-20 15:28,벤더커피,11400,F&B,카페,커피,서울특별시 송파구
ELW85947,여성,40대,2022-06-28 21:08,슈퍼타이,54900,F&B,레스토랑,아시안,서울특별시 구로구
MEC00013,여성,20대,2021-01-23 6:27,모닝글로리,1000,전문점/일반테넌트,라이프스타일,문구/선물,서울특별시 노원구
IPH73932,여성,30대,2024-05-02 0:05,베스트프레즐,3700,F&B,F&B,F&B,서울특별시 강서구
SWZ32701,여성,30대,2023-04-06 16:50,사위식당,23000,F&B,레스토랑,한식,서울특별시 중구
JSP15149,여성,30대,2025-05-04 6:27,잭슨피자,50500,F&B,레스토랑,양식,서울특별시 구로구
BWX38099,여성,30대,2024-08-31 14:15,베이직하우스,19800,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 구로구
TXR15704,남성,40대,2024-11-18 6:18,타이거커피,6500,F&B,카페,커피,서울특별시 은평구
RHN11216,여성,30대,2023-09-03 22:06,국수나무,24300,F&B,레스토랑,한식,서울특별시 송파구
TWL25520,여성,30대,2021-12-26 23:39,잭슨피자,92010,F&B,레스토랑,양식,서울특별시 양천구
SFF47178,여성,30대,2022-04-28 15:16,베이직하우스,125500,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 서초구
SXW22448,여성,50대,2024-10-24 2:54,교보문고,30000,전문점/일반테넌트,라이프스타일,도서/음반,서울특별시 성북구
LYB62475,남성,40대,2021-10-26 17:48,베이직하우스,19900,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 성동구
DPF03038,여성,30대,2023-09-04 18:23,애슐리,12000,F&B,레스토랑,양식,서울특별시 동대문구
JXI80345,여성,40대,2023-09-01 1:11,H&M,1075000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 강남구
BGO72892,남성,60대,2025-05-12 5:23,풋마트,39000,전문점/일반테넌트,패션잡화,신발멀티,서울특별시 관악구
WKH44753,여성,30대,2024-02-04 14:43,SPAO,41500,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 양천구
VLK22481,여성,30대,2025-04-06 8:18,무지,8500,전문점/일반테넌트,라이프스타일,홈퍼니싱토탈,서울특별시 노원구
IJN90343,여성,40대,2021-12-31 10:48,아레나 수영복,90000,전문점/일반테넌트,패션의류,스포츠,서울특별시 영등포구
AYH77449,남성,40대,2025-01-21 0:15,하치돈부리,8500,F&B,푸드코트,일식,서울특별시 강서구
IKB68461,여성,40대,2024-08-31 7:30,H&M,49000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 은평구
TPC38761,남성,40대,2025-05-16 22:46,배스킨라빈스,8000,F&B,테이크아웃,스위트,서울특별시 중랑구
IEH75451,남성,40대,2022-07-19 2:14,베이직하우스,14900,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 용산구
EAN90515,남성,50대,2024-10-07 15:44,공차,5000,F&B,카페,기타음료,서울특별시 강북구
NOT94984,여성,50대,2023-04-02 5:17,타코닷,41310,F&B,레스토랑,양식,서울특별시 성동구
YKU42950,여성,50대,2023-02-05 6:32,오마뎅,22000,F&B,레스토랑,델리,서울특별시 강북구
NGN72186,남성,30대,2022-03-30 4:08,하얀피부,98000,전문점/일반테넌트,H&B,뷰티케어,서울특별시 노원구
CGR17900,여성,40대,2023-02-02 1:26,동네카페,38600,F&B,카페,커피,서울특별시 구로구
QHO03933,여성,50대,2023-04-27 14:37,H&M,30000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 금천구
YXH34348,여성,60대,2021-08-24 18:03,베이직하우스,29900,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 강동구
VWF07853,여성,30대,2024-04-19 12:41,몽스,10000,F&B,카페,베이커리,서울특별시 강북구
EPU81138,여성,40대,2023-05-26 21:56,유니언,19600,F&B,카페,커피,서울특별시 강동구
ABF22834,여성,30대,2025-05-28 15:29,코이라멘지로,296000,F&B,레스토랑,일식,서울특별시 동대문구
EJE43018,여성,30대,2024-10-11 15:53,클루,38700,전문점/일반테넌트,패션잡화,가방,서울특별시 노원구
VYG65951,남성,20대,2021-09-13 4:13,풋마트,170000,전문점/일반테넌트,패션잡화,신발멀티,서울특별시 강북구
ACD91564,여성,40대,2025-08-08 16:29,베이직하우스,89800,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 마포구
VRP36989,남성,50대,2025-06-15 9:41,베르제,49000,전문점/일반테넌트,패션잡화,주얼리/시계,서울특별시 동대문구
YSG46983,여성,40대,2021-03-26 7:53,H&M,21000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 용산구
OBP88566,여성,30대,2023-06-03 11:11,메가커피,17000,F&B,카페,기타음료,서울특별시 강서구
DJF09320,여성,40대,2025-08-27 23:24,주크,39900,전문점/일반테넌트,패션의류,여성패션,서울특별시 종로구
UHA97378,여성,40대,2021-12-18 1:28,라인프렌즈,9800,전문점/일반테넌트,라이프스타일,리빙소품,서울특별시 동대문구
EPX03639,여성,40대,2022-02-02 11:13,H&M,96000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 양천구
MUG00952,여성,30대,2021-03-29 4:30,msgm,195000,전문점/일반테넌트,패션의류,남성패션,서울특별시 강남구
XCC94476,남성,40대,2022-04-07 1:10,H&M,29000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 용산구
HIL59915,남성,40대,2023-10-01 21:35,알파문구,2000,전문점/일반테넌트,라이프스타일,문구/선물,서울특별시 강서구
ISH82902,여성,40대,2022-04-18 23:20,인카이로스,10800,F&B,카페,기타음료,서울특별시 성북구
CUB22780,여성,50대,2022-07-09 9:54,SPAO,50000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 중랑구
MLM68053,남성,30대,2021-11-02 22:45,델리이노밸리,33600,F&B,레스토랑,델리,서울특별시 종로구
CNF16477,여성,20대,2025-01-04 14:10,라이라이,31500,F&B,레스토랑,중식,서울특별시 영등포구
PVC33138,여성,40대,2023-03-17 15:51,베르제,121600,전문점/일반테넌트,패션잡화,주얼리/시계,서울특별시 중구
JSP15149,여성,30대,2024-03-09 10:30,모닝글로리,15500,전문점/일반테넌트,라이프스타일,문구/선물,서울특별시 구로구
OAQ93219,여성,40대,2024-02-12 3:37,바른샐러드,8800,F&B,카페,기타F&B,서울특별시 중구
SQS68404,여성,30대,2021-03-01 23:55,라이라이,15000,F&B,레스토랑,중식,서울특별시 동대문구
XIY42665,여성,20대,2025-10-30 9:31,미엔느,9900,전문점/일반테넌트,라이프스타일,주방/식기,서울특별시 노원구
FUW70120,여성,50대,2021-07-28 20:43,알파문구,4000,전문점/일반테넌트,라이프스타일,문구/선물,서울특별시 성북구
VFJ13553,여성,60대,2021-06-27 17:13,H&M,409000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 종로구
ZMU16817,남성,40대,2024-11-27 5:47,지오다노,25900,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 마포구
AUQ67956,여성,30대,2022-08-28 12:51,그래니살룬,11000,F&B,레스토랑,양식,서울특별시 도봉구
QHO03933,여성,50대,2024-02-04 19:31,SPAO,41300,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 금천구
LNH70498,여성,30대,2024-08-04 18:08,베이직하우스,29900,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 양천구
MEZ18738,여성,30대,2023-11-03 12:10,델리이노밸리,41600,F&B,레스토랑,델리,서울특별시 서대문구
CVO11797,여성,30대,2024-08-23 8:59,H&M,59000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 성동구
MUC03355,여성,40대,2021-10-20 6:15,송지오,327000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 마포구
UDU22052,여성,40대,2021-06-19 17:51,토이플러스,36300,전문점/일반테넌트,라이프스타일,취미,서울특별시 강북구
ROY46944,남성,50대,2024-02-17 14:04,삼성디지털프라자,29900,전문점/일반테넌트,라이프스타일,가전,서울특별시 성동구
OYR41486,여성,50대,2023-03-25 21:21,무지,118500,전문점/일반테넌트,라이프스타일,홈퍼니싱토탈,서울특별시 강동구
WEM12996,여성,50대,2025-03-28 17:28,베이직하우스,51700,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 광진구
ZYS10671,남성,40대,2025-11-14 0:33,모닝글로리,195300,전문점/일반테넌트,라이프스타일,문구/선물,서울특별시 금천구
YYY09331,여성,20대,2024-03-15 5:40,멜본,19950,전문점/일반테넌트,패션의류,여성패션,서울특별시 강북구
YFH06326,여성,40대,2023-12-18 1:18,티슈업걸,74000,전문점/일반테넌트,라이프스타일,리빙소품,서울특별시 강서구
MQP43451,여성,30대,2022-04-17 23:33,삼대국수회관,11900,F&B,레스토랑,한식,서울특별시 강서구
YYY09331,여성,20대,2025-01-18 15:24,골드리아,78000,전문점/일반테넌트,패션잡화,주얼리/시계,서울특별시 강북구
NGV14002,여성,50대,2023-01-24 20:44,무지,29930,전문점/일반테넌트,라이프스타일,홈퍼니싱토탈,서울특별시 서대문구
RBI85159,여성,40대,2023-02-26 10:50,더블에잇,19000,전문점/일반테넌트,패션의류,남성패션,서울특별시 성동구
KSI99271,여성,40대,2024-03-05 20:19,동네카페,28000,F&B,카페,커피,서울특별시 은평구
OZM33968,남성,40대,2021-03-12 23:48,서울전통육개장,17500,F&B,레스토랑,한식,서울특별시 서초구
YLQ95469,여성,40대,2021-10-10 1:10,로이드,39900,전문점/일반테넌트,패션잡화,주얼리/시계,서울특별시 마포구
DMG28290,여성,50대,2024-03-28 20:26,H&M,39000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 광진구
OWZ90082,여성,30대,2022-12-31 4:56,토니모리,42000,전문점/일반테넌트,H&B,코스메틱,서울특별시 송파구
YTN77047,여성,50대,2023-11-04 18:30,봉명동내커피,6000,F&B,카페,커피,서울특별시 금천구
HKS98200,여성,30대,2025-11-29 14:37,폰갤러리,10000,전문점/일반테넌트,라이프스타일,기타라이프스타일,서울특별시 금천구
CUB22780,여성,50대,2025-09-15 10:30,베이직하우스,9900,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 중랑구
XLM52803,여성,30대,2021-01-04 3:59,간식여왕,16300,F&B,카페,기타음료,서울특별시 노원구
QBI80122,여성,30대,2021-01-08 21:17,에터미,13000,전문점/일반테넌트,H&B,코스메틱,서울특별시 마포구
YSR87448,남성,40대,2025-05-13 1:01,교동짬뽕,30900,F&B,레스토랑,양식,서울특별시 강서구
OCH09887,여성,30대,2023-09-15 0:28,H&M,59250,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 강남구
DSI53827,남성,50대,2021-07-31 3:44,SPAO,81000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 동작구
NHD14030,여성,30대,2025-06-09 14:50,감미옥,30000,F&B,레스토랑,한식,서울특별시 금천구
BJA59380,여성,40대,2023-04-20 19:12,아베크롬비,69900,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 종로구
OWQ54032,여성,50대,2025-03-31 12:07,차고145,13000,F&B,레스토랑,한식,서울특별시 용산구
YPH79319,여성,30대,2022-04-15 2:31,부띠끄1111,29000,전문점/일반테넌트,패션의류,여성의류,서울특별시 강동구
LKU71326,여성,60대,2022-12-10 0:22,국수나무,9840,F&B,레스토랑,한식,서울특별시 관악구
SFF47178,여성,30대,2024-06-04 3:34,감미옥,43000,F&B,레스토랑,한식,서울특별시 서초구
ZQU16043,여성,40대,2021-12-31 14:40,교보문고,21900,전문점/일반테넌트,라이프스타일,도서/음반,서울특별시 강서구
CZS45812,남성,30대,2021-10-14 10:19,고피자,20800,F&B,레스토랑,양식,서울특별시 중랑구
ERX34167,남성,40대,2025-10-10 3:57,헬로키즈,48000,전문점/일반테넌트,키즈,키즈패션의류,서울특별시 동대문구
EPU81138,여성,40대,2022-11-04 3:46,유니언,9500,F&B,카페,커피,서울특별시 강동구
ISH82902,여성,40대,2021-11-26 15:47,띠아모,69000,전문점/일반테넌트,패션잡화,포멀신발,서울특별시 성북구
TBS53152,여성,30대,2025-06-30 3:12,닥터스킨샵,8800,전문점/일반테넌트,H&B,코스메틱,서울특별시 관악구
RSR51523,여성,30대,2023-01-24 1:55,무인양품,53000,전문점/일반테넌트,서비스,라이프스타일,서울특별시 동대문구
YZA48567,여성,30대,2022-02-16 8:11,모닝글로리,14100,전문점/일반테넌트,라이프스타일,문구/선물,서울특별시 동작구
OCH09887,여성,30대,2021-10-23 22:48,미샤,6800,전문점/일반테넌트,H&B,H&B멀티샵,서울특별시 강남구
VNX04304,여성,30대,2021-03-17 16:22,파리바게트,2800,F&B,카페,베이커리,서울특별시 중구
TWK00435,여성,40대,2021-12-05 19:02,캘빈클라인,30000,전문점/일반테넌트,패션잡화,언더웨어,서울특별시 강동구
LSX63023,여성,30대,2025-03-21 21:29,베이직하우스,79800,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 도봉구
CKC39576,여성,40대,2021-04-14 10:46,SPAO,46900,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 관악구
NGN72186,남성,30대,2023-02-19 1:14,인까사,7760,전문점/일반테넌트,라이프스타일,가구,서울특별시 노원구
VLM27295,여성,40대,2023-12-03 17:44,국수나무,15500,F&B,레스토랑,한식,서울특별시 용산구
JFS57895,여성,40대,2023-08-28 17:47,설화수,2500,전문점/일반테넌트,H&B,H&B멀티샵,서울특별시 동작구
XIY42665,여성,20대,2025-10-21 12:04,폴햄,102600,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 노원구
GHJ74685,여성,30대,2024-11-04 16:19,동이버섯마을삼계탕,30000,F&B,레스토랑,한식,서울특별시 동대문구
